Municipio ,Estado ,Region 
Pánuco,Veracruz ,Huasteca Alta 
El Higo,Veracruz ,Huasteca Alta 
Pueblo Viejo,Veracruz ,Huasteca Alta 
Tampico Alto,Veracruz ,Huasteca Alta 
Tempoal,Veracruz ,Huasteca Alta 
Ozuluama de Mascareñas,Veracruz ,Huasteca Alta 
Chiconamel,Veracruz ,Huasteca Alta 
Platón Sánchez,Veracruz ,Huasteca Alta 
Chalma,Veracruz ,Huasteca Alta 
Tantoyuca,Veracruz ,Huasteca Alta 
Tantima,Veracruz ,Huasteca Alta 
Tamalín,Veracruz ,Huasteca Alta 
Chinampa de Gorostiza,Veracruz ,Huasteca Alta 
Naranjos Amatlán,Veracruz ,Huasteca Alta 
Tamiahua,Veracruz ,Huasteca Alta 
Huayacocotla,Veracruz ,Huasteca Baja
Ilamatlán,Veracruz ,Huasteca Baja
Zontecomatlan,Veracruz ,Huasteca Baja
Texcatepec,Veracruz ,Huasteca Baja
Zacualpan,Veracruz ,Huasteca Baja
Benito Juárez,Veracruz ,Huasteca Baja
Tlachichilco,Veracruz ,Huasteca Baja
Ixcatepec,Veracruz ,Huasteca Baja
Chicontepec,Veracruz ,Huasteca Baja
Ixhuatlán de Madero,Veracruz ,Huasteca Baja
Chontla,Veracruz ,Huasteca Baja
Tepetzintla,Veracruz ,Huasteca Baja
Álamo Temapache,Veracruz ,Huasteca Baja
Castillo de Teayo,Veracruz ,Huasteca Baja
Citlaltépetl,Veracruz ,Huasteca Baja
Tancoco,Veracruz ,Huasteca Baja
Cerro Azul,Veracruz ,Huasteca Baja
Túxpam de Rodríguez Cano,Veracruz ,Huasteca Baja
Arroyo Seco,Queretaro ,Huasteca Queretana
Jalpan,Queretaro ,Huasteca Queretana
Landa,Queretaro ,Huasteca Queretana
Fransisco Z. Mena,Puebla,Huasteca Poblana
Pantepec,Puebla,Huasteca Poblana
Venustiano Carranza,Puebla,Huasteca Poblana
Jalpan,Puebla,Huasteca Poblana
Tlaxco,Puebla,Huasteca Poblana
Tlacuilotepec,Puebla,Huasteca Poblana
Xicotepec de Juarez,Puebla,Huasteca Poblana
Pahuatlán,Puebla,Huasteca Poblana
Naupan,Puebla,Huasteca Poblana
Atlapexco,Hidalgo,Huasteca Hidalgense
Huautla,Hidalgo,Huasteca Hidalgense
Huazalingo,Hidalgo,Huasteca Hidalgense
Huejutla de Reyes,Hidalgo,Huasteca Hidalgense
Jaltocán,Hidalgo,Huasteca Hidalgense
San Felipe Orizatlán,Hidalgo,Huasteca Hidalgense
Xochiatipan,Hidalgo,Huasteca Hidalgense
Yahualica,Hidalgo,Huasteca Hidalgense
Calnali,Hidalgo,Huasteca Hidalgense
San Bartolo Tutotepec,Hidalgo,Huasteca Hidalgense
Huehuetla,Hidalgo,Huasteca Hidalgense
Aquismon,San Luis Potosi,Huasteca potosina
Axtla de Terrazas,San Luis Potosi,Huasteca potosina
Cd. Valles,San Luis Potosi,Huasteca potosina
Coxcatlan,San Luis Potosi,Huasteca potosina
Ébano,San Luis Potosi,Huasteca potosina
El Naranjo,San Luis Potosi,Huasteca potosina
Huehuetlan,San Luis Potosi,Huasteca potosina
Matlapa,San Luis Potosi,Huasteca potosina
San Antonio,San Luis Potosi,Huasteca potosina
San Martin Chalchicuautla,San Luis Potosi,Huasteca potosina
San Vicente Tancuayalab,San Luis Potosi,Huasteca potosina
Tamasopo,San Luis Potosi,Huasteca potosina
Tamazunchale,San Luis Potosi,Huasteca potosina
Tampacan,San Luis Potosi,Huasteca potosina
Tampamolon,San Luis Potosi,Huasteca potosina
Tamuin,San Luis Potosi,Huasteca potosina
Tancanhuitz de Santos,San Luis Potosi,Huasteca potosina
Tanlajas,San Luis Potosi,Huasteca potosina
Tanquián de Escobedo,San Luis Potosi,Huasteca potosina
Xilitla,San Luis Potosi,Huasteca potosina
San Luis de la Paz,Guanajuato ,Huasteca guanajuatense
Mante,Tamaulipas,Huasteca tamaulipeca
Xicoténcatl,Tamaulipas,Huasteca tamaulipeca
Ocampo,Tamaulipas,Huasteca tamaulipeca
Gómez Farías,Tamaulipas,Huasteca tamaulipeca
Nuevo Morelos,Tamaulipas,Huasteca tamaulipeca
Antiguo Morelos,Tamaulipas,Huasteca tamaulipeca
Aldama,Tamaulipas,Huasteca tamaulipeca
Tampico,Tamaulipas,Huasteca tamaulipeca
Ciudad Madero,Tamaulipas,Huasteca tamaulipeca
Llera,Tamaulipas,Huasteca tamaulipeca
González,Tamaulipas,Huasteca tamaulipeca
Aldama,Tamaulipas,Huasteca tamaulipeca
